beta_x/theta_E,beta_y/theta_E,theta1_x/theta_E,theta1_y/theta_E,theta2_x/theta_E,theta2_y/theta_E
0.84090938,0.37999751,1.42405152,0.6435129,-0.58314214,-0.26351539
0.9047399,0.45275326,1.45455127,0.72789189,-0.54981137,-0.27513863
0.88228636,0.46908891,1.42817232,0.7593224,-0.54588596,-0.29023349
0.80523719,0.48122341,1.35074418,0.80722764,-0.54550698,-0.32600423
0.85807525,0.46260897,1.40825867,0.75922607,-0.55018342,-0.29661709
0.79095083,0.30176133,1.41003929,0.53795422,-0.61908845,-0.23619288
0.84908336,0.38302653,1.43010017,0.64512665,-0.5810168,-0.26210012
0.87347473,0.35531161,1.46082857,0.5942351,-0.58735384,-0.2389235
0.70943616,0.37967486,1.30507513,0.69844793,-0.59563897,-0.31877307
0.91625999,0.41783645,1.47681866,0.6734646,-0.56055866,-0.25562815
0.72815576,0.39014944,1.3177555,0.70605989,-0.58959974,-0.31591045
0.75766413,0.41599415,1.33375883,0.73229794,-0.5760947,-0.31630378
0.89274277,0.47391694,1.43601579,0.76231613,-0.54327303,-0.28839919
0.77345131,0.50431106,1.30935377,0.85373388,-0.53590246,-0.34942282
0.73575186,0.44314426,1.30014947,0.78308166,-0.56439762,-0.33993739
0.82717328,0.39796639,1.40509547,0.67601406,-0.57792219,-0.27804768
0.71306385,0.46228337,1.26822895,0.82220008,-0.5551651,-0.35991671
0.7939057,0.31688959,1.40697466,0.56159771,-0.61306895,-0.24470812
0.74831556,0.34965257,1.35435824,0.63282774,-0.60604268,-0.28317517
0.83295704,0.37319852,1.41961056,0.63604307,-0.58665352,-0.26284456
0.72006161,0.40212273,1.30443063,0.72846711,-0.58436902,-0.32634439
0.8280066,0.34787846,1.42462931,0.59854336,-0.59662271,-0.2506649
0.8371598,0.30855804,1.44600761,0.53296548,-0.60884782,-0.22440744
0.70760858,0.34630117,1.31917913,0.64560167,-0.61157055,-0.2993005
0.71071846,0.32873188,1.3300619,0.61519966,-0.61934345,-0.28646778
0.87386245,0.36947545,1.45636914,0.61576355,-0.58250669,-0.2462881
0.8588511,0.38451614,1.43810355,0.6438532,-0.57925245,-0.25933706
0.71903368,0.45972579,1.27553094,0.8155313,-0.55649726,-0.35580551
0.73323149,0.31065104,1.35768803,0.57521698,-0.62445655,-0.26456594
0.82193151,0.28753954,1.44045771,0.50392101,-0.6185262,-0.21638146
0.7866541,0.37713446,1.37710566,0.6602063,-0.59045156,-0.28307184
0.79521796,0.32187863,1.40623169,0.56919731,-0.61101373,-0.24731868
0.89417634,0.36460564,1.47535176,0.60158332,-0.58117542,-0.23697768
0.74041459,0.36063691,1.34247432,0.65388473,-0.60205973,-0.29324782
0.89350427,0.47327068,1.43695199,0.76112367,-0.54344772,-0.28785299
0.78241702,0.51841259,1.31205934,0.86934214,-0.52964232,-0.35092955
0.83452876,0.4720046,1.38253356,0.78195291,-0.54800479,-0.30994831
0.78661529,0.47813425,1.33400012,0.81085526,-0.54738482,-0.33272101
0.73749177,0.4473902,1.29985426,0.7885404,-0.56236249,-0.3411502
0.80617924,0.3923344,1.38848051,0.67571658,-0.58230127,-0.28338217
1.22885248,-0.28455424,1.76621961,-0.40898749,-0.53736713,0.12443324
1.27592623,-0.28095904,1.80447554,-0.39734564,-0.52854931,0.11638659
1.39489265,-0.28829801,1.89972095,-0.3926365,-0.5048283,0.10433849
1.2463965,-0.35703125,1.76886151,-0.50669177,-0.52246501,0.14966051
1.26458304,-0.26139174,1.79797482,-0.37164484,-0.53339179,0.1102531
1.30694176,-0.26109445,1.83187903,-0.36596386,-0.52493727,0.10486941
1.34186427,-0.31118947,1.85377333,-0.42990543,-0.51190906,0.11871596
1.22231026,-0.2811966,1.76147954,-0.40523432,-0.53916928,0.12403771
1.26375544,-0.28895732,1.79359465,-0.4101049,-0.52983921,0.12114758
1.21196775,-0.25397229,1.75713587,-0.36821427,-0.54516813,0.11424198
1.27293337,-0.31219421,1.7976524,-0.44088456,-0.52471903,0.12869035
1.30967938,-0.26886968,1.8331324,-0.37633159,-0.52345302,0.10746191
1.36160178,-0.35688066,1.86368197,-0.48847766,-0.50208019,0.131597
1.30844833,-0.37068103,1.81771639,-0.51495575,-0.50926806,0.14427472
1.38547686,-0.34266117,1.88531695,-0.46628343,-0.49984009,0.12362227
1.27879076,-0.26388748,1.80900322,-0.37330056,-0.53021246,0.10941308
1.38952503,-0.2862045,1.8955942,-0.39044104,-0.50606917,0.10423654
1.37202492,-0.32493194,1.87660263,-0.44442934,-0.50457771,0.1194974
1.32674991,-0.32297051,1.83986266,-0.44787746,-0.51311275,0.12490695
1.32485636,-0.33524028,1.83658122,-0.46472661,-0.51172486,0.12948633
1.31777253,-0.27906281,1.83838193,-0.38931152,-0.5206094,0.11024871
1.3266426,-0.25565892,1.84830541,-0.35618919,-0.52166281,0.10053028
1.29695543,-0.30094258,1.81870532,-0.42200823,-0.52174989,0.12106565
1.33336463,-0.34475549,1.84218266,-0.47631577,-0.50881804,0.13156027
1.25391448,-0.26475476,1.78902301,-0.37773896,-0.53510853,0.1129842
1.32000058,-0.39345121,1.82361734,-0.54356374,-0.50361677,0.15011253
1.24301511,-0.34142073,1.7687302,-0.48581964,-0.5257151,0.14439891
1.26405222,-0.33099055,1.78757433,-0.46807419,-0.52352211,0.13708364
1.21902342,-0.24244315,1.76426496,-0.35088248,-0.54524154,0.10843933
1.30094165,-0.34430652,1.81565439,-0.48053012,-0.51471275,0.1362236
